,folder,filename,entity,score,word,start,end
0,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.88013756,BAS Aktiengesellschaft BASF BASF Aktiengesellschaft,25,76
1,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.82908505,Ludwigshafen,87,99
2,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,PER,0.8368531,Grubbs,115,121
3,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.99719083,California Institute of Technology Division of Chemistry and Chemical Engineering,122,203
4,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,LOC,0.99716896,Pasadena,211,219
5,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,LOC,0.9993587,California,221,231
6,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,LOC,0.997549,USA,238,241
7,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,PER,0.48865172,Müller,273,279
8,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.64775795,Mall,280,284
9,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,PER,0.9140784,Grubbs,337,343
10,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,PER,0.99882,Wolfgang Mueller,425,441
11,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,MISC,0.99906844,American,692,700
12,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.99888223,BAS Corporation,716,731
13,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,PER,0.9988252,Mueller,844,851
14,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,LOC,0.99954396,US,905,907
15,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.9983021,BAS,1017,1020
16,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,PER,0.9388644,Peter Schwab,1449,1461
17,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,PER,0.9980223,Wolfgang Mueller,1544,1560
18,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.70861024,BAS Aktiengesell,1667,1683
19,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.654746,##aft Kunst,1686,1695
20,/mnt/c/Users/sdavison/temp/Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BAS_F,BAS_F_1.txt,ORG,0.61952233,##laboratorium,1700,1712
